,0,1,2,3,4,5
198,DBAEHFCBEHF,DBCGHFBABFH,HCABDGGGEBB,ABABFEDHHGF,DGHFCBCGGCA,CDGHFAABEGF
199,EHHGFDBAABE,FFGGGGFDBAA,AABDEFFGGGG,HHGDDCCCCBA,CBAABDEGGHH,HHFDCBBCBCE
200,ABCDCFHHFCC,HHGEACDCABF,CCBAACEFGHH,HHGFEDCBBBB,EFGGEBAACFG,HGCACFHGCAC
201,ABBDGFCCGHH,HFBBFFDBADG,AAACEEFGGGG,HHFDCBBBBDE,FCBACEGHHEB,ABDFGHHFBBC
202,HHFCBBBBBEG,AACFHFGFEED,HHGFECBABCC,BCFHHGFDCBA,AABCEFGGGGG,HHGFFFDBAAA
203,ACFGHGGECBA,GFDCBBBBEGH,ADFGHGFEDBA,BBCBBCEGHHH,HHGGFECBBAA,ABBBCDEFGHH
204,HHFDBCCBCCC,BAABDEFFGHH,GGGGGFEDBAA,AABEGHGFEDC,AABBDFGGGGG,CBDHFCEFBBG
205,HGEAAEFEBCE,FFDDCBBBDGH,AACEFFFGGFE,BAADGHHEEDC,HHGECCBBBCC,CDEFGGEGEBA
206,CFHGGFDEBAA,GFGGGFEDCAA,AAACDFFGGGG,HHGEDCCCCBA,BBBBBDFFGHH,HGFFDADBECE
207,ECFHDAADHGD,BACGHEBBCFH,HBCDFHDABDF,AEHFBAFEDDG,GGEDCFHGCAA,EGGCABFHGBB
208,AADFGHHEEDB,EFFGFFGFCAA,CBABDFDDFHH,CFHHGFDCBAA,HHFDBAABDEE,ABBBCDEFGHH
209,GGGGGFECBAA,HGECBBBBCFH,AACDEFFGHHC,HFBAABDEFGG,FGGGGFCCBAA,BBBBCDEEGHH
210,HHDBADEDCBD,BBBBCCCFGHH,ACBDFGHGFCB,CBBEHHFBCDC,HHHEBBCCCCB,GGEFGFEDBBA
211,GHGGFECCBAA,GGGFFGEBAAA,AABCDEEFGHH,HHFDCBBBCCD,AACFGFCEFHF,EDCBAADFGHH
212,AACEGGFFFFE,AAABDEFGGHG,HGGGFEDCAAA,AABEGHGGEDC,BABBBDFGHGH,AABCDFGHGFG
213,FGGGFFFCBAA,GFBCBAAFGGG,BCEGGGHGCAA,BDHHFCACEDC,HHGFECBBBBB,ABBBCCEFGHH
214,GGHGFEECAAA,BBBBDCDEGHH,CDFFFGFFFBA,AADHGFEFFEE,HHGFFDCBBAA,BBBBCCEFGHH
215,ABCCCDFFGHH,FFGGGGEDBAA,AABCEFFGGGG,BFHHFDDDCBA,HGEBAABDFGH,GFEBABCBEGH
216,AACDGHGFEEE,GGGGFFDBAAB,AABDEFGGGGG,HHFCCCCCCCB,FECBBABDFHH,AEFGGCGFDCD
217,HHGECBBBBBC,ADDDBBDEGHH,EECBAADGHHC,CBAABDFGGHH,GGFFEGFEBAA,HGGGFDDDBAA
218,BAABCCFHHGF,GDAEHGEDBEB,AAACDEFGGHH,HHGEDDCBBBB,AACBDFFHHFE,FGFFFGGDAAA
219,GHHGFEDCBAA,DDCBBBBDGHH,BCCCDFHHGCA,DGEBAADFGGG,GHGGFECCBAA,DCCBBBCDGHH
220,BDDBABDGHHG,EEFGGFGECAA,DBAABDEGGHH,HHHFEDCCBAA,AACFGGEFEFF,ACBCDEFHHFB
221,DBBBACEFGHH,CBCAADFHHFF,HGGHFECCBAA,AABBCDFGHHH,HHGFDBAACDF,DCEDFHHEAAC
222,AABCDGGGFGG,HGGGFEDCBAA,AABCEFFGGGG,DGHFDCDEDCA,GFDBAABCFHH,ACFGHHCDEBA
223,HHGEBBBCCCE,AABCEFGHGFC,HHGECAABCDE,FGHHFECBAAB,ABEGGGFEDDE,GHGGGEBBBAB
224,AABDFFGGGFF,HHGGEEDCBAA,AABDEFFGGGG,HHFEDCCCCBB,AABBCDFGGGH,GEEFEDGDECA
225,GGFFFGEDBAA,AFCDBCCGEGH,AAEFGFFFGFD,AAACGHGGFED,HHGFDCCBBBB,ABCDFHGGFCB
226,AAACEDGGHGG,ABBCDEHGFHE,HHGFEDCBAAB,AABEGHGGFDC,BAACDDEFGHH,GFEBCAADHGG
227,GGHGFFECBAA,DBABBCDFGHH,DFGGGFFECAA,AABFGGFFFFF,GGGGFEDCBAA,BBBBBCEFGHH
228,ABCDFGFGGFD,HHFEDDCBBBB,AABCDFFGGGG,EBAABDFGGGH,HHGGFEDBAAA,BBBCDFHDEHG
229,ACEDEFHHFCB,BBAACDFGHHG,GGGGFFEDBAA,AABDFHHGFED,BAABCDFGHHH,BAABDGGGGGC
230,AABCEFGGGGG,HGHFFECCBAA,AABDEFFGGGG,HHHECCCCCBA,EDBAABDFGHH,AAADFGHGGFB
231,HGDBABCCEGH,DEFEEGGGEAA,HHFDBAACDEF,FGHHGEDCBAA,AACEFGGGFFF,GGGFFFFCBAA
232,EBADHGDBBFH,FCBACFHHGCA,BCFHHFBBBCF,CAABDEGFGHH,FGGGHGCAAAC,GFCAAACFGGH
233,DFGGGFFDAAC,HGCABFDEFEC,BGHGECAACGG,CAACGHHFEDD,ABEFGHGDACF,HEAABDFDEHG
234,GHHGFEDBAAA,BBBBCCCFHHH,BCDEFGGGGDA,ACGFCBCCDHH,GGGGFFECBAA,EDCCBBBDFHH
235,AABBBEFHHGG,GEFHGFDCCAA,AABCEFFGGGG,HHGFEDCCBBA,ECAABEGEFGH,FDEFFGHGDAA
236,GGHGFEDCBAA,CBBBBCEFHHH,AACEGGGGEEF,FHGCBAADFFF,HHGGFDCBBAA,CCBBBCDEGHH
237,HGEBABCDEGH,BBEEEFHGECA,GDBAACDFGGH,HHGFEDCBBBA,AABCEFGGGGG,GGGGFFDDBAA
238,HHFCBDDDCBB,AABBCEFGGGH,HHGGFEDBAAA,AACEHHGFEDB,BAAACEFGGGH,BDFCCGHGBBC
239,HHGFEDDCBAA,CBBBCCDEGHH,ACFGGGFFECA,AAACDFGHGFF,HGHGFEDCBAA,BBABCDEFGHH
240,HFCDCBCBCFG,CDABBDGGHHD,EDCEGHHFCAA,AABCDEFGGGH,CBHHFFEEBDA,FEEEFGGGDAA
241,HHFEBBAACEG,AABDEEGGGGE,HHGGECBABBC,CEGHGFCBAAE,AABDEFFGGGG,HGGGFFDBAAA
242,ADGGHGGECAA,FDCBBBBDFHH,AEGGHGFECBA,BBBBBCEGHHH,HHGGFDCBBAA,AABBCDEGGHH
243,BEHFDCGECCB,HFECFGFBDAA,AABCDEFGGGH,HHGEDDCCBBB,CBAABDFGGHH,EFFFBDFHCCA
244,GHGGFEDBAAC,EHHGFDCAABC,BEGHHFECBAB,AACFHGFFDDF,GGECAABDFGH,GEBABEGHGDB
245,EBADHGGFFCA,AABFGHGEDEG,HGECDEGFCAA,GFBABEDCGHF,CCCFHHGCAAD,GGDAAADGFFG
246,HHHGEDCCBAA,CBBBBCCEGHH,ACEGHHGFDBA,AAADFGGGGFF,HHGFEDCBBBA,CBBBBBCFGHH
247,DEGGGEAACGE,GCBAACEFFGH,EGHHFECBABB,FEBAABDEGHH,HHGDBBBCDDB,ABDEGFBBFHG
248,EGGHFFECBAA,DCBBBBDDFHH,FGGGGFEDAAA,AADGGFFFFEC,HHGECBBBBCD,AABBDEFGGGH
249,AFHGEGEDABB,GGGFEDEFCAA,AAACDFFGGGG,FHHFDDDCCBA,HECAABCEGGG,CCCBABFDGHH
250,AADEEHEBHGC,DBAADGHGGFE,FFCBGHGDEBA,AABFHGFEEFG,GGGGGFDBBAA,CAABEDEHGFH
251,GGGFFFFECAA,BBBBCDDFGHH,DFGGGGEDCAA,BAABCFHHGFF,HHGGFDBBBBB,BBBBCCEFGHH
252,ACGGHGGECBA,FEDBBBBCFHH,ADFGGGFEDBA,CCBABCEGHHH,HHGGFDCBBAA,ABBBCDEFGHH
253,BBBCBBEGHHG,GGDEHGECAAB,GGDBAABDFGH,GHHGFEDCBAA,AABCEEEFFGH,FEFGFGGECAA
254,AABDDFFGGGG,GGGGFFDDBAA,CAABCEFGGHH,GHHGEDCBBBA,CBABBDEFGHH,GABFDFEEFED
255,ACFGGGGECBA,GFDCBBACEGH,ADGGGGFEDBA,BBCBBCEGHHH,HHGGFECBAAA,ABBBCDEGGHH
256,CEFGEGEBACF,GDBAADHHGED,BEHHGFDBABD,GFCBAACEGHH,HGFEFGCBABB,BCDFCADGEFH
257,AABCEFFGGGG,GGGFGEEDCAA,CAABDEFGGHH,DGHGGFDCBAA,HFCAABCFFHG,ABDCEFGGGFB
258,HGEDEDBABFH,GHFECDGDAAD,HECAABCEGHH,HGECBAABFGG,ABEHHEBCEFE,GGGHGECBAAB
259,DFHHGGFCAAA,GGGGGFDBAAB,AABDEFFGGGG,HHGDCCCCCCB,DCBABBDFGHH,HHGFEDCCBAA
260,CEFGGEFGDAA,BGHHFDDCBAD,BDEDEGHGFCA,AABEGGFFEFG,HHGGEEDCAAA,CDFEBACGGFH
261,BGHHFDCDACB,CDEFGFGEFBA,DCBAACEFGHH,GHHGEDCCBAA,AABBCDFGGHH,CEFBACHCEHD
262,BABBFECCGHH,EBAEHHFDDDA,AABCDEFGGGH,HHGEDDCBBBB,AACBDFGHGEF,FFFGGHFDBAA
263,GFBAADDFFGH,GGEGGEDABBA,AABCEEGHGFG,AABDEFHGGFF,HHGGEDCBBBA,DEEHGBFEECA
264,HHGFDDBBBBB,EDBAACFHHGF,DCCBBACEGHH,HGEDBBABDFG,FGGGGFEBAAA,DBBCDBCGGGH
265,HHFBBCDCCCE,DDCBADEEDGH,AABCDEFFGHH,HFBBCEFEECA,HHGGECBBCCA,FEEDCABBEHG
266,FGGGFFEDBAA,CBACGFGHFDE,AACDFGGHGDB,EHHGCBBBCCC,HHGGECCCBBA,BBBBBCDFGHH
267,DCCBABDFHHH,GGGFFFFDBAA,GDAABCEFGGH,GHHFEDCBBAA,AABEGGGGFFE,DBCEFHGEEAB
268,CBABCDDFHHH,AADFFHHFEDB,HHGGFEDBAAB,BCEHHGFDCBA,AABDEFFFFGG,GGFFFGGDBAA
269,DFGGGFCEEBA,ABEGFDEDEGG,GGFDDBABFHD,BAABDFHHGFE,FGGGFDEFBAA,EECEEAAEHEG
270,GHGFEEFEBAA,CBBBBDDEGHH,EEFGGFFEBAA,AAACEHHGFEE,HHGEDCCCCBA,BBBBCDEFGHH
271,GHHGFECBBAA,DBAADFFFFGH,ABCEFFGHGBB,DHHEBAAEFEE,HHGFEECBBBA,BBBBBCEFGHH
272,HHFFEEDCBAA,BBBBBCDFGHH,FFGGGFEDBAA,AABCFHHGFED,FDAAADEGGGG,ADGDBFHFDGD
273,HHGFEDCBABB,AAACCDFFGHH,ABGGHGDDDCB,BABCDEFGGHG,GGGGFEDCAAA,GHGGHCCAABB
274,AAABCFHGGFG,CADHHFGDBED,ECAABDEFGHH,HHGFEDCCBAA,AABDFEFGGGF,EGGFGGFDBAA
275,AABEGGHGFDC,HHFDCABCCDC,HGFFECCBBBA,AABEGGFFFFG,HHGGFECBBAA,GFDCBABCFHH
276,DGGHGGFCBAA,HHGEDBAABCF,AACDFFEFGGG,HHFCBBBBDEE,HGDBABCCDGG,BBBBBCEFGHH
277,GBBHFCBGGDB,BFHEBACHHDC,BEHGCDCGFBB,BBAGGBFFDDH,FDCFHFBACGC,ABFHDBEHGBD
278,HGDAABCCEGH,AACDDFGGGGF,HHGGEDBAABC,GHHGEDBAABD,AABDEFFGGGG,HGGGFEDBBAA
279,FECBABCDGHH,BCFGHGGECBA,HGEBAABDEFG,EGHHGEDCBAA,AABDFGGGGFF,HHHFEDCBCBA
280,AABBDEFFGHH,GGGGGFDCBAA,AABDEFFGGGG,ACHGEEEFEDA,HGFDBAACEFH,CGHGDBBCCDB
281,DBEFGGFGBDA,EEDAFGFGGDA,BBABBDFGHHG,GECAABDFGGH,BDFGHGFECAA,AABDDCEFGHH
282,BCCEECABGHH,FDCBAACEGHH,HGDBABDDEFF,CFHHFEDCBAA,CBABCEGHHGC,BABDFGHFCEG
283,HGCAACEFFGE,FDEBCBBCFFH,AABDEFGGGFF,BCDFHHFECBA,HHFECBBBCBC,GFGGECDECBA
284,GGEBADEBEHD,GFDECBBACFH,ACEGGGGFCDA,AAABEHHGFEE,HHGFFDCBBBA,ABCDDGHGGEE
285,AACEEDCCEHH,HGGGEAADFCA,HHGDBBBCCDE,AABCEGGGGFF,HHFDABBDDED,CEGGHHEAABD
286,ADGGHGGECAA,FDCBBBCDFHH,AEGGHGFECBA,BBCABCEGHHH,HHGGFDCBBAA,ABBBCDEGGHH
287,HHGEDEECAAA,ABBBCDEGGHH,AABBDEFFGHH,HEBAABDFGGG,HGGFFEDCBAA,EECBBACEFGH
288,HHGECABDEDB,ABCEGGHHGCB,HFBAABDEFGH,GHHGFEDCBAA,AAACEFFGGGG,GGGGFEEDBAA
289,CDCEDBCHHFA,AAADGHGGFED,AADGGGEDEFG,ABFCEHGFCDG,HGECBBABEGH,EBAABDFGHHD
290,CDCCEBBHHFC,DDCBAACFHHH,FDDGHGFDCAA,AAACGGFFFGF,HDBCDECCGHB,BCDCABEFGHH
291,ABCFEGHGCBF,HGFDAABEGGE,HFCBACDDDEE,AABCDGGGGGG,HHGFEECAABB,BDFFCACGHGD
292,GHGGGFDBBAA,CBABCCDFGHH,AACDEEEEFHH,HCAABCDFGGG,HHGGECCCBBA,CBBBBCDFGHH
293,DGHGGFDCBAA,HHGFDDCACAC,CDEFGHGFCAA,AAFHGDCEEEF,HHGGEDDBBAA,BBBBCCDFGHH
294,HHGEEEEDCAA,DDBBCBBCFHH,ABDFFFHEEEB,DBAABDFGHHH,HHGGFECBBBA,BBBBBBDGHHH
295,HHFCBBBBBFG,AABCDEEGGHG,HHGGECAABCD,FGHHGEDBBAA,AABDEFFGGGF,HGGGFDCBAAA
296,CDFGDDHFAAF,GHGECBAACEG,HHHFECBBBBB,AABDFGGGGFE,GGGGFBAABEG,GGEBAACEGHF
297,GHHGEEDBBAA,AABEGGGGFFE,BBDGHGGFEBA,DGHHFCBBCCC,FDAABCFGFFH,BBBBCCCEGHH
298,HHGFEEDCBAB,ABBCFHGEFGE,HGGGGECBAAB,ABEHHGFEDBA,GEBAABDEEHH,AAEFCDEEGGH
299,EHFFBFDCGBA,FHGGFFDCBAA,CCCBBBDFGHH,FGGGGEDCBAA,AAABDFGGGGG,HHHDABDCBDD
300,HHFDEEECABA,BBBCECDCFHH,ABDEGGGGEDB,FBABCBHGFFF,HHGDBBBCDDC,ABBDCDEFFGH
301,BBBDDBBFHHG,FDAADGHHFCB,ADGHHGDBBCC,AABDGGGGFEE,HGGFFEBAABD,DGGEAACEGGB
302,HHGFDCCBABB,AABCCEFGGHH,HHHGFDCBBAA,BDGHGFCAACF,FHHGDDCCBBA,HGFCDBAADEG
303,ACFGHGGECBA,FDCBBBBDFHH,AEGGGGFECBA,BBBABCEGHHH,HHGGFECBAAA,AABBCDEFGHH
304,EEDFHGDAACG,FEDBAABDGHH,HHFDCBBBCCD,DGHHGFDCBAA,EFGGHGDCAAA,ACFGHGBACEG
305,GFDBAACCEHH,GDAABDEGHGC,HHGDBABCDEF,GHHGFEDCBAA,AABCEFGGGGG,HGFFFFFDBAA
306,EBCGFGGFEAA,AEGEBABFHGE,ABFHHDBBEGC,BFEBBGECCFH,HFDCEHHDAAC,FGCAACGGGGB
307,ECEHDAAFHFB,AACGHFGECEF,CHHDBDDGDAD,HDABDCCBDGH,GEECDGHFBAA,EGGCBCGHFBA
308,FGEAABCEFFH,GFFFECBBDBG,AABCDEFFGGH,FEAABDGGGFD,HHGGEDCBABB,ABCCCFGHHFB
309,HHGECBCCBBC,CBBBBCDFGHH,AADDGGGGGEC,BBCEHHFFDBA,HHFEDCBBBCD,GGGFFFCBBAA
310,FECBCBACFHH,HGEDEBACGFB,HGGDAABCEFG,HHHGEDCBAAB,ABBDDGHHECE,GFGGGFDBAAB
311,FDAAFHGCBCG,HGDBBDHGDAB,BGHECCEGFBA,ABBACGFEGHG,CCGHGCBACFD,DCDFHFBABEH
312,FGGHGEDBBAA,BBBCBCFGHHG,GDCFHGFDBAA,BEHHGEDBBBA,HDAABDDDEGH,BBBBBCDFGHH
313,ABDDDGHHFCC,HHGFDAABEEE,AAADEEEFGHH,EHHGEEDCCAA,EGGFCAABEGH,GGDAACFGHEA
314,BBBADFGEFFH,GFGGGFECBAA,AABBCDEGGHH,GHHGEECCBAA,ABABCEFGGGH,HHHFEDBBBBB
315,CFHHGFEDBAA,BCBAACGHHGG,EEFGHHFDBAA,AABDGHGFEDC,BAABCDFGHHG,DAABCEFGHGF
316,GHGGEEFCAAA,ABDDDDCCFHH,HHGFDBABDEB,EBAABCEFGHH,FDDEGHHFCAA,BDEFFBABFHH
317,CDFGGHCADFB,GGDAACCCDGH,BCDDBACEGHH,HFCAABCDGGF,CDFHHEAACEF,EGGDAABEGGG
318,HHGFFEDCBAA,CBBCCCBEGHH,CEGGGGGEBAA,EFDAABEGGGG,HHGGFEDBAAA,BBBBBCEGHHH
319,AABCDFFGGGG,GGGFFFEDBAA,AAACDEFGGGH,GHHFFEDCBAA,FDBABBDFFHH,AAEBEEEHGGF
320,HGEBBBBCCGH,ACCGEEDGEED,ABBEGFGGGED,CBABEFHHFEE,FGCCEBDECGE,HGGGFEEBBAA
321,DFGGGFGEBAA,BFEABGFECDH,GFEDEGHFCAA,BEGEBAADGHH,HHHEBBCCBBD,FCEGFBABEHG
322,HHHFFECCBAA,HGECEABBCEG,ABDEGHHGDAB,DFFCAABEGGG,HHGFEDCBBBB,CCBBBBDFGHH
323,DHHGFFECBAA,BBCACEEFGHH,HHGGFECBAAB,ABDGHHGEDCC,HHGFDBBABCC,BBBBCCDFGHH
324,AACDFHHGGDC,FEEGGGDFEAA,GEBBABDEGGH,BDGHGFEDCBA,BAABDEFGGGH,HFDEDABDGEB
325,FGHGGBEDAAB,ABFDBCHHGEC,GEDEHCAABEH,CCBBBBCFHHH,GEDFGGGFCAA,BCBABDFGHGG
326,AABBEGGGGGG,GGGGGEFCBAA,CBAACDFGGHH,HHGFEDCBBBB,AABCDFFGGGH,HGGEGCECEAA
327,ABCCBDGHHFC,CDGHHFDAABF,HGCADGGDABC,AACFHGGFFDC,GGGDAABCEGG,DBACEGHHEBC
328,ABBBCEFFGHH,FGGGGFEDBAA,AABCDEFGGGH,GHHGEDDCBAA,CBAABCEFGHH,HGGGFFDCBAA
329,HHGFEEDCBAA,BBBBCDEFGHH,BDFFGGGGDAA,DAAEHGFEFFF,FHGGGEDCBAA,BBBBBCEFGHH
330,DBABFFGFHDB,FDCBBCCDFHH,ABCDDDDFHHE,FCAABDFFGGH,HHHGEDCBBCA,BBBBCEDFGHH
331,BDGGHGGECAA,EDCBBBCDFHH,BEGGHGFECAA,BCCABCEGHHH,HHGGFDCBBAA,ABBBCDEFGHH
332,HGEBABBCFGG,BBABBDFGGHH,HHGFDCBABCD,CDGHHGECBAA,ACFHHGFECBB,GHFBAACDGHD
333,HHGECBBBCBC,AABCDEGHGGG,HHHGEDBABBC,DFHHGFDCBAA,AABEFGGGFFE,HGGGFDCAABB
334,AACCDEFFGHH,GGGGGFECBAA,AABDEFFGGGG,FHHECCCDCBA,FECBAACEGHH,GHHGEDDBBAA
335,EFGGFGCADDA,AADGFEDGGFE,BBBDFHHGECB,AABEGGEDFGG,GHHFCBDFFBA,BDDBBEDCGHH
336,ECCCECACEHH,GCCDAADHHFC,HFGHFDCAABC,EGHHGECBAAC,ACCBBFFHHGC,DFFFGHFDBAA
337,HHEBCCDDBCC,ACDDDFEGHGD,HHGECBABCDF,GHGFDBAACEG,AABEGGFGGFE,HHGEDBBBBBD
338,HHHGEDCBABB,BBBCCEDEDGH,ABCEFGGHGCE,GHGCAACDDEF,HGGGFFDBBAA,EDDCCBBBFHH
339,AABCEGFGGFG,FGGGFDEDCAA,EBAACDFFGHH,EGHHFEDCBAA,FCAABDDFHHH,ACDBDFGEHHB
340,BBBCDBCFGHH,GEGEADHGDCA,GEBAACDFGGH,EGHGFEDCBAA,BAACEEEGGGH,FDEGFGGFDAA
341,HHGFDECBABB,BBBBBDDFGHH,ABDFGGFFFDB,GFGHGGCAABB,BCEFGHHFBAA,DDCDCBAFGHG
342,BBBBBCFGHHG,EDADGHGEEBA,HGEBABCDEFG,DEGHGFEDBAA,BAACDGFFGGH,GEDEFFGGDBA
343,AAACEGGGHGF,FEGGGEFEBAA,GEBAACDFGGH,AADHHGFFDCB,EDBABCEFGHH,ACDEFCEFHEF
344,HHGFEFCBABB,ABDGGFGEFDA,DCBBABDFGHH,HHGEDCBBBBC,AABCFFGFGGF,DDDCABGGFGF
345,DFGGGFDEDBA,AFHHGDDDCBA,BBCFHHGFDBA,AABDGHGFEEF,FGGHGEBBBBA,AADFGEABGHG
346,ADGGHGFECBA,FECBBBBCEHH,BEGGGGFECAA,ABBBBCEGHHH,HHGGFDCBBAA,ABBBCDEGGHH
347,GHFDCEGFCBA,HHGDDBBBBDG,ACFGGFEBEHB,BAABCEGGGHG,HGGGFFDCBAA,ACBBBCEEGHH
348,FFFEGEBGFBA,AEHGCDECBEH,CDDDBABEGHH,HGECBABDEFE,DDDEDEGHGBA,ACEGCABFHGF
349,BDFGGGDFEBA,ABFHGDAAEGG,GBFHHFBBBDB,AABBCDGHHGG,GHHGFDCBBBA,BCDBACFGEGH
350,AABCDFFGGGG,FFGGGFEDBAA,EBAABDEFGHH,HHGFEDCBBBA,AABBDEFGGGH,GECBAAFHHGB
351,HHGECBBBCBC,CCBBBBEFGHH,EEEGGGGFCAA,ABEHHGECBCE,ABDFHHGFDBB,HHGFDCCBABB
352,HHFDCDDCBBB,BBBDCEDCFGH,ABCEFFGHGEC,GDFHHDEABCB,HGGECBFDDBA,BAADCFEFGGG
353,DFGGFHEACBA,BAAEGFCEGGH,ABDFFDEFHGC,GCAABDFGGGG,FFGEEGGFCAA,ACEGGBADGHF
354,HHGCABEDDDB,GECABBBDFGH,AABDFFEEGGG,GCAABCEGGGG,GHGGFEDBBAA,DCCBABEGHHG
355,HGCABFDDFCD,DBAABDEGGHH,HHGGFEBAABC,BCFHHGFECBA,AAABEFGGGGG,DCBABBDGGHG
356,HHGECBBCCBB,BGFCGEFGGAA,CBBABCEGHHH,HECAABDFGFH,EGGGGCAACED,BAACDDDFGHH
357,DBBBEECBEGH,HFEGDBFEDAA,ECAABCEFGHH,HHGEDCBBABD,BACDFHHDBDG,GFGHHFDBAAC
358,AABCEFGGGGG,GGGGGEDCBAA,AABCDFFGGGG,CFHHGFEDCBA,FECAABDFGGH,ACFFDGFGGCB
359,FDBDHGGGCAA,ADFCAEGDCGH,FHEDFGCBEDA,GGCAAEHFDCF,FGFCAADGHEA,BDFHFBABEHF
360,HHGFEECBBAB,AABBCDEFGHH,ADGGGFGFDCA,HGFEGGBABDD,HHFCCBDBFDB,BBBBBDFFHGH
361,HEBBACEEGEG,BACFDGDGEFE,ACCDGFGDEEF,BABHHGBDFEE,HGFHFEBCAAC,EGHFEEBDBBB
362,GFCAAEHHFCB,AACFHGEGGEB,BGHFBBDGFBB,DDAACGDFHHE,GHFCBAACFGE,GFCEGCAADHF
363,GHHGFECCAAB,AABBCEGGGGG,HHFEDCAABDF,BDGHHGFDCAA,DBAACFEGGGH,EFEDABCBFGH
364,HHGEECDBBBB,BBBBBCDFHHH,AABEFFFGGGD,GHBDHECDBBB,FGGGGGECBAA,HHGFCBDBCCB
365,EEFDDGHFCAA,DDBCBCBCFHH,AABCEFFFGHF,HFBABBDEFGG,HHGFEDCCBAA,BBBBBCEGHGG
366,ABCBFHFDCFH,HGDBABFGGEB,BAACDEFGGHH,DGHHFEECBAA,FGGEBAADFGF,BACFGHEBDGG
367,EGFFDCAEEEB,BABCCDCFGHH,AABCEFFGGGF,HFBBBACFFFF,HHGEBABDDDC,CCBBACFFFGH
368,CCCDDBBDFHH,GDEEAADHGCD,EECAABDEGHH,HHGFEDCBBAB,AACDCEGFGHF,EEGFFGGECAA
369,HGFCBBEFBDF,CDFGGGFFDBA,DBBABBEFGHH,EGHHFEDCBAA,AABBCEFFGHH,HHDBCBBCBGE
370,CEFGHGEEDAA,HHGFFECBAAB,AABDEEDDFHH,GHHFDBABCCE,EFGHHGDBBBA,ECCBABDEGHH
371,HHFCABCCDEF,AABCDFHHGDC,HHGFEBAABCD,FGHGFEDBBAA,AACDEFFFGGG,GFHGGFDBBAA
372,HHGEBBCBBCC,BABBCEDFGHH,ABDGFGFFFCC,AACGGHFFECA,HHGEDCBBBBD,FFFFFFGDCAA
373,HHGDCCDCBAC,BABCDDCGGHH,ABDEFHGFFED,GDEGGHFBBBA,HHGFGDBCABB,GGHGDEEBBAA
374,ADFGHGGECBA,FECBBBBCFHH,ADFGHGFEDBA,BBCABCEGHHH,HHGGFDCBAAA,ABBBCDEFGHH
375,GDBFHGGDAAB,EGEBAADGHFC,ABFHHEBBBDF,BAABDEEGHGG,GGEFEFFFEAA,EBABFDCGFEH
376,FEBABCECGGH,CEGGGHFDCBA,ECBABCEFGHH,HHFEDCBAADF,AABCDEFGGGH,HGGGFEDCBAA
377,BCFFHECGGCA,CHHFGEBABDG,BDGGGGGEBAA,EGHHEBABDDD,ECCBABCFHHF,BAACFGFCFHG
378,GGGGFFECBAA,GGFEFDAABEG,BDEGHHGDAAB,EGHFDBAABFG,HHGECBBCCCB,CBBBBCDEGHH
379,DCBABDEGGFH,HHGFEDBABBC,AABDEFFFFGH,EBAACEFGHGG,HHGGEDCCBAA,FECDABGGGEC
380,BEGHGGFDBAA,FFFGGGFCBAA,AACDFFGGGFF,BFGBABDGHGE,GGECBAACEGH,HHFDCABBDEG
381,ABFGGGGEDBB,FFGGGGFDBAA,AABDEFGGGGF,AABEEFFGGGF,HHGFCBAACEF,EECBBBBEGHH
382,AABDDFGGGGG,GHGGFCEBABA,ECAABDFGGHH,CEHHGFEDCBA,DBAACDEGGHH,BBDFGHGFDBA
383,CBBCBBEFHHG,DBCHGEGBCFA,DBAACDFGGHH,HHGFEDCBBAA,AABDDDFFGHH,FEFGFGGECAA
384,BCBCDGGHGCA,HGDDDCCCCBD,AABDEEEFGHH,FCAABCFGGGG,HGGFFEDCBBA,CBBCBEEEHHD
385,FECAEEHHFBA,HBBDECBCDGH,AACDDEEFHHD,DBAACDGGGGG,HHHGDDCBBBA,ECABBCDFGHH
386,AABDEGGFGGF,DDFFFHHEDBA,HGECAABDEGH,FGHGFEDCBAA,AABCDEEFGHH,GGGGFEDDCAA
387,GHHGFEDBBAA,ECBCBCBDFHH,BEFGGGGECBA,AACGGFDEFFF,HHGGFDCBBAA,BBBBBCDFGHH
388,AABBEEGHGFF,EGGGGFFDBAA,AABCDEFGGGH,EGHGFEDDBAA,FDBAABDEGHH,BABBDEFGHDF
389,CFGGGGCBEAA,FECBCGHGEBA,ABBBCCEFGHH,DGHGFEDCBAA,FCAAACFGGHH,BDCDABGGEHG
390,HHGECBABCDE,CBBABCEHHHG,HHHGFDBAABC,GHHGFDCBAAB,AABDFGGGFFF,HGGGFFDBBAA
391,CDDFGHGEACA,HGDCCBAACFH,ACDBBDEFGHH,BAABCEFGGGH,HGGGFECBBAA,BBBBBCEGGHH
392,GCEFGEFBBAG,BAAEFEDDEGH,GGEEFGGDBAA,HGFEBEGECAA,ABDGFCBDGHF,DBBDGHGDACF
393,ACFGGGFEDBA,HGECBBABDFH,ACFGHGGFDBA,AABBCDEGHHH,HHGGFECBBAA,AABBCDEGGHH
394,HHFDBBBBCEE,DDGGGFEEEAA,DCBBBBDFGHH,HGEDBBABDFG,ACFGGGGFDBA,HEBAACFEGGE
395,HHGEFFECBAA,BBBBDDDDGHH,CFGGGGFEDAA,BAACFFFFGGG,HGGGFEDCBAA,BBBBBCEFGHH
