,0,1,2,3,4,5,6,7
152,BCCBACFFFDA,ACEFFEEDBAA,AABDEFFEDCC,AAABCDDEFFF,EFFDDCBAABB,BBBDFFFDABC,FECBDEFEBAA,ACEFFCAACEF
153,BBBBEFECADF,FEDCBAABDEF,FFECAAABCEF,AAAACDEFFFE,FFECBBABCCC,AAABBCDEFFE,FECBAABCEFF,FDBAACEFFCB
154,FFFECBBBCBA,AFFEDCCBCCC,DBBBCBBBDFF,AAABCDEEFFF,FFECBAABCCC,ABCEFFFECBA,FFEDDBAAADE,DEFFECBBBBA
155,AACDEEEEECB,FFEEDDCBAAA,AAABBCDEFFF,EEFFEDDCBAA,BBCBAABDEFF,DDEEEEEDBAA,FFECBBBBBCC,AAABCCDEFFF
156,FFFECBBBBCA,EBFEFEDAAAC,AAABBBCEFFF,BBEFFEEDDAA,EDAABEFDFCC,FFFFEDCBAAA,ECBCBCBBFFF,CBBCCAEEFCE
157,AABBCCFEDFF,AABDCDCEFFF,FFFEDCCCAAA,BBBBBBCDFFF,AABDFFEEEDC,FFFEEDCBAAA,AAABCDEFFFE,FEEDDABBDBA
158,FFFDABDCBBA,FDEEEDCCBAA,ABBBBBEEFFF,BCDDEEEFEAA,AAAABDEFFFF,FFEEEDCBBAA,FCBBCAACFEE,AABBBDEFFEC
159,AABDDDFFECA,FFEDCCBBABB,AAABBCDEEFF,EEEEDEEDAAA,ABEFFEDCBBB,FFFEEDCBAAA,DECBBAABEFF,AAABBCDEFFF
160,AAABCEEEFEE,BDCBABFFFEB,FFEEEDCBBAA,AAABCDEEEFF,FFFEDCBBBAA,DCBAABBCEFF,AAABCDEFFEF,EECEEEECCBA
161,FFFECBBABAB,FFFDCDCAAAC,BBBBABCDFFF,ACDDDBDCEFD,EDAABBCDEFF,CCCEEEFECAA,FFEDCCBBABA,BAABBCEEEFF
162,CCDDEEBBFDA,BAACEFEDBDE,BAACCCCDEFF,AABCDEEFFDA,FECAABCDDDD,AACBCDEEEFF,EBBDEFEAACE,ECAAACDFFEE
163,EEDFFBCBBAA,FEDEDCAABBC,EEFFEECBAAA,EEDCCCBAAEF,CDFFFDCBAAB,AABCCCDEEFF,DCCEEDEECAA,CBAABCCDEFF
164,CAACFEBBEFD,CBAABCEFFED,BAAABDEFEEF,FCABEFCACDB,AABDFFDBBEF,CBBBCEFFEBA,DDEEFFDBAAA,ABDEBBEEBEF
165,FEDAAABEDEE,AACCBCEDDFF,FFFDDAABBDE,CCCCABEDADF,AABBBDDFFFF,EFEEEDCDCAA,FFEDDDDBBAA,AACBCEFEFEC
166,FFFDCBBDBAA,BAADCBDFEEF,CCCBEFFECAA,FFFEDCBAAAB,AACEFFEDCBA,FFFEDCBBBBA,AAABDEEEEFF,EBABDABDCFF
167,FFFEDBBBABB,ABCDCDEEEEE,CEEEFDDCCAA,FFECBAABCCD,DEFFEDCBAAA,AAABCCDEFFF,FEEEEDDBBAA,FFFEDBBBBBA
168,FFEDCDDCAAA,AABCEFFEDDD,CDBAACEFFEC,FFEDCCDBAAB,EECAAABDFFE,AABBCCEFFFD,BAACEDCDEFF,FFEDCBAABCC
169,AADFFFEDCBA,BABBBCDEFFF,FFECBAABCDE,AACDEEEEEDC,BCFFBAABDEF,FEEEEDDCBAA,AAABDEEEFEE,BAABBCDDFFF
170,FFFDCBABBBB,AABCCCCDEFF,ABBCCBCCEFF,FFEEEDCCBAA,CAAABCDEFFF,FFFEDBAAABC,CDEFFEDCABA,BCCABDFEFBD
171,AACDEEFEECB,FFEEDDCBAAA,AAABCCDEFFF,EFFEEDDCBAA,CCCBAABCEFF,DEEEEEDDBAA,FFDBBAABCDE,AAABCDDEFFF
172,BBDEEDDFEBA,CFFFECBAABD,EDBAACEEEEF,DEFEEBAABDE,DEFFEDCBBAA,BCEEFFEDBAA,FFDAABBCCCF,DEDAABDFFDD
173,FFFECBBBBAA,BBCBBBBCEFF,AABBCCDEFFF,FFEEEDCCBAA,BAABBDEFFFE,FFCBBBABCDE,EFFEDDBAAAD,BBEFFEECABA
174,FFEDCCCBAAA,AABDEFEEDDD,ECBAACEFFEC,FFEDDEDCAAA,AABDFFFECBB,ABBBBCDDEFF,EBABCBBCFFF,FFEDBAABCDC
175,AAADEEEEEDD,FCBDCDCCACD,ECBCBCABEFF,ACFDEEEDDBA,AAABBCDFFFE,FFEEEDCBAAA,FFEBCBAADCE,AAAACDEEEFF
176,FFFECBCCBAA,ACEDEDDBBFD,AAABBCEEFFF,ABEDDDEEEDC,BAABCEFFEDE,FFEEEDCBAAA,FECECBBBCDB,EDDCFEEBABB
177,AACECCCDFEF,AAABCDEFEFE,FFFEDCBBAAB,AABCCDEEEFF,FFFEDCBBBAA,FFFEDCAAABB,AABCDEEEEEE,FEDECAABCCC
178,FFFECBBABBB,ADFEEBCDCDD,EEEEEEDCBAA,CBAABCDEFFF,FFECBBAABDE,AABCDEEEEEE,DDEFEEDBBAA,EEDEEEECBAA
179,AAACFFEEDDC,FEFECBAACBC,BBAABCDEFFF,BBDDCBBCFEC,BCCAABDEFFF,EEEEDDEDBAA,FFEEEDBABAA,CBDACDFDDEC
180,CEFFFECCBAA,BBABBBDEFFF,FFFEDCBBAAB,AABCDDEEEEF,EFFEDCBBBAA,FFFEDBAAABD,AABCDEFEEED,FFDBBABBDDC
181,FFFEDBBBBAA,AADBDDEEEEE,AAABDCEFEEF,CCEFFEDBBCA,AABBCCDEFFF,EEEEEEDCBAA,FFFEDCCBAAA,FFDEEEAAAAC
182,ABCCCEFFECC,FFEDCBCCBAA,FFFDCBBBBBB,AAABCDEEFFF,FFFEDCBBAAA,BCEDDBAACFF,AACEFEFEDBA,BABBBCDEFFF
183,AACDEEFEEDC,FFEEDCCBAAA,AAABBCDEFFF,EEFEEDDCBAA,BBCCABBDEFF,DEEEEEEDBAA,FFECCBAABCD,AAABCDDEFFF
184,AACEEEFEECB,FFEEDDCBAAA,AAABCCDEFFF,EEFEEDDCBAA,CCCBAABCEFF,DEEEEEEDBAA,FFECBBABBCC,AAABCCDEFFF
185,ABDEEDFFDAA,FFFEDDCBAAA,AABCEFFEEDD,BABCDFFFDCA,AAABEFEEDDF,ABBCEFFFDBA,EEFFEECAAAA,AABBCEFFCDF
186,FFECAAABCEE,CAAACDEFFFD,AAABDEEEFFE,EDDEEEEDBAA,FFDCBAABCDF,ADFFFDBABCC,ABACDBDEDFF,CDFFEEDCAAA
187,AAACEEFEEDD,FFFECCCCBAA,FFFDBBBBBBB,AABBCDDDEFF,CEFFEDCBAAA,BABBBCDFFFC,DEEFFEDCAAA,DDCBBBABDFF
188,EDBAAFFEDCB,ADBCEEEECDB,DDDCBAACEFF,AABDDDCCEFF,ECAAABCEEFF,EEEEEEDDBAA,FFEEDCCABAA,ABCDDCFFCBD
189,FFEDCAAABCD,AAACDEEEEEF,EEFEEECCBAA,FECBAABCDEF,ABDFFFEDBAA,BAAABDEEFFF,FFEDCBBBABC,FFEEECBBBAA
190,BADCEECCFEA,BEFFDBAACEE,CBAAACEFFFF,CEFFFEDAAAB,BDFFFDCBAAC,CEFFEEDCAAA,CBCDCAAEFFD,BAABCEFFDEF
191,AAACCDDEEFF,ACECEBCCFEB,FFFEDCCBAAA,BAABBCDEFFF,ABDFFFEDCBA,FFEDCAAABCD,ABBABCDFFEF,FDDDFDCEABA
192,ABCEFDFDACD,FEDCDCBAADE,BBBBBBCDEFF,FFFEDDCBAAA,CEFFECAAACE,ABCDEFFECAA,DBBBACDCCFF,BDECAABDFEF
193,DEFFEDCCBAA,AAABBCEEFFF,FFECBAABCEF,AABBCDEEFFF,FFEDCCBBBBB,DCCBAABCEFF,AACDDEFFEDC,FFECCCCBBBA
194,AACDDDEEEDE,EFFEEDCBBAA,CEEDBAAACFF,AAABDEEEFED,DEEEBAABEEE,FFFEECBBBAA,FFECBAABCEE,CCBAADEFFEB
195,AABBBBDEFFF,AAABCEEFFEC,FFFEDBBAABC,AABCDDEEEEE,ABEFEDBBCCC,FFFEEDCBAAA,AAABCDEEFFF,FEDDEDDDDAA
196,AACEEEEEEEE,AAACCEEFFEC,FFEEDCBAAAB,AABCDEEEEEE,AAABDEEEEEF,FEEEEDDCBAA,AAABCCDEFFF,FFFDDCAAACC
197,BBBDFEDBACF,FFECBAABDED,BAAABCDFFFF,CAAABDEFFCD,FFECBBBBBBB,AABCDEFFEDB,DCBBAABDEFF,FEDBAABCDEF
198,DCBADFFECBB,EFECBAABDFE,DBAACEFFEBA,ABDFFEFDBAA,ABBABDEDDFF,DBBABEFFDBA,DEFFFDBAABC,FFDAAABDEEE
199,CEFFFECBBAA,AABCCDEEFFE,FFEDCBAABCD,AABCDDEEEEE,FFFDCBBBBBB,FFFEDBAAABD,AABDDEEEEEC,FCDAACCBDEF
200,AABCCBCEFFF,EBADFFEDCAA,CCBAABEEFFE,AAABCDDEFFF,FFFEDCBBBAA,BBBBCDFFFDA,AAABCEEFFED,AACEFFFDABC
201,ABBBDFFFDBD,EFFEDCAAACC,ECAAADFFEDE,AABBCDEEFEF,FFEDCBBBBBB,CDFFFDBAABE,EEFFEDBAABC,CDEFFECAAAB
202,FFFECBBBBBB,AABCCDDEEFE,EFEEDEDCBBA,FFEDBAABBCD,AABDFFFEDCB,DCBBAABDEFF,ABCDDFFECCB,FFFFEDBABAA
203,AACDEEFEEDC,FFEEDDBBAAA,AAABCCDEFFF,EFFEEDCCBAA,BBCCBBBDEFF,EEEEEEDDBAA,FFECBBABBCD,AAABCDDEFFF
204,FFFDCBBBBBB,CCCDCAABDFF,AAABDDDDFFF,FFEEEDCBAAA,AAABCEFFEED,FECAABBBCEF,ACCDCFCEBBE,EFDBCCEBACF
205,FEECAACDDEC,ABDDFEEBDCB,AAABBCDEFFF,ABDDDFEEECA,BAAACEFFFDC,FFEEEDCCAAA,ECBCCEECDCC,EEEDDEEDBAA
206,ABEFEFDDBBA,FCFDCAADDCB,FFFEDBAAABC,AABCDDEEEEF,FFFDCBBBBAB,FFECBABBBCE,AAABDEFFEEE,EFCABDBDEBE
207,ECBFFEBAABE,FFDBAAACEED,CAABCEFFECD,CCEFEBABBED,ABEFEBABDEC,BBCEFFDCCAC,EFECBAABDEE,DBABDFFFCBB
208,AAADDDFFFEC,FEAABDCCFDB,FFFEDBBBBAA,AABCCBBDEFF,ABEFFEDCBBA,FFFEEDCBBAA,AAACCDDEFFF,AABBBCDEFFF
209,DEEEEDDDCAA,FFEEEDCBAAA,AAABBCDEFFF,ABBCDDEFFEA,FFDBBAACCDD,AAAADEEFEFD,FFFDDCBBABA,AABBCBCEFFF
210,FFECBABCCCC,BACDDEBCDFF,AABBCDDEFFF,BCDEFFEEBAA,CBABCFFFDCA,EFEEEDCCAAA,AEFEFECCBCA,DEFEFBDCABA
211,EFFEECDCAAA,FFFDCBDBAAC,FFDCCBBBABC,AABBBCDEFFF,FFFDCBBBBBB,AABBBBDEFFF,DBDEEFFCBAA,BAAABCDEFFF
212,AABCDEEEEDE,FFEBABABCDF,ACCFEFEDBAA,FFEEEDCBAAA,AAABCEFFFEE,FFEDBBBBBBC,AABCDBCEEFF,AABDCFFECED
213,CEFFEDCDCAA,FEDDDCBABBB,AABCCCCDEFF,DEEEEEECAAA,ABEFFECBAAC,FFEEEDDCBAA,CBACCDBBCFF,AAABBCDEFFF
214,DEFFEDCBBAA,EBBBCDBBCFF,AAABCCDEEFF,DEEEEEEECAA,AABDFFEDDDE,FFEEEDDBAAA,FFEDCBABBCB,AABBBCDEFFF
215,AACDCCDEEFF,AABBCDDEEFE,FFFEDCBAABB,AABCDDEEEEE,ABEFFDCCBBB,FFFEEDCBAAA,AABBCDEFFEE,BBABCBBDEFF
216,AABCCDFFEED,CDDEEEEDCAA,FECBAABCDFF,AABDEEEEEEE,FFFDBBBBBBB,FFFEEDCBAAA,AAABCDEEEFF,EFEAEDDDABC
217,FFFEDBBBBBB,AABCDEFEEEE,AAACEFEEFEB,BBAABDEFFEB,DCBAABDEFFF,ABCEFFEDCBD,FFFEDCCBBAA,FFFEDDDBAAA
218,BBBBBCCCEFF,EDBCECAADFF,FFEDDFDBAAA,AABBCDDEEFF,FFEDDCBBBAA,BAAABCEEEFF,BCEFEBABEEC,EEEFFECBAAA
219,EFFFEDCBBAA,FFEDDDCAABA,AAABCDEEFFF,BBCDEFFFDAA,DEFECAAACEF,BCCDEFFECAA,FFFEDDBBBAA,BBABBBCEEFF
220,BDDDBAABDFF,EDBAAABDEFE,FFFEDDCBAAA,AABBCDEEEFF,EFFEDCBBAAA,CBBAABDEFFF,FADACEECCDD,ABCCDEFFECA
221,DCBBBAADFFF,DFFEDCCCAAC,BDFFEDDCAAA,FFEEDCCCBAA,BAABBCDEFFF,EFFEEDDCBAA,AAABCEFFEEF,CDDFFFCAAAC
222,AABCCCDFFFE,EFFEEDCCBAA,FFECBAABCDF,AABCDEEEEEE,BCFFDCBBBCC,FFFEEDCBAAA,AAABCDEEFFF,EEFFCCBCCAA
223,FFFEDBBAABB,AABCCCDDEFF,EFFEEDCBAAA,FECAAABCDEF,DEFFFECBBAA,AAABCDEEFFF,FFDDBBDBBBA,FFFECBBBABB
224,AAACCDEEFEE,FFEEDDCCBAA,FEEDCAAABEF,AABCDDEEFFF,FFEDCCBBBBB,EDDBAABBDFF,AABDCDEFEEE,EECCFECCEAA
225,FEEDCADEBBA,BAAADFEEEDE,AACBBDDEEFF,BDFDCCEFEAA,AAAABEFFEEE,FFEEEDCBAAA,CDAACBBCEFF,BDDFFDEDBAA
226,AAABCEDEFFF,FFCCABBBFED,EEEDEEDDBAA,FFFEDCBAAAB,AAABCEFFEEE,FFECBAABCDD,AAACDEFFDDD,BCCAABDFFEF
227,DEFFEDCCBAA,FFEDDBAABBC,AABBBCDEFFF,EFEEEDDCBAA,AAABDFEEEEE,CDCDDFFECAA,FFEEDCBBAAA,AAABBCDEEFF
228,AABCCDEEEEF,FFEEEDBBAAA,CCBBAABDEFF,AABCDEEEEEE,EEAAABCDEFF,EEEEEEDCBAA,FFEDCCBBBBB,BBCDFCBBEFC
229,AADCCBDEFFF,FFEDBBBBBCD,AACDEFECBEE,FFEEEDCBAAA,AAABCDEFFEE,FFEDBABBBCD,AACDDEDEEEE,AACEFDEEEDA
230,AAABCDEEEFF,FFFEDCDCAAA,FFEECBAAACE,AABCDDEEEEE,FFFECBBBBBB,FFFEEDCBAAA,AABBCDDEFFF,ABDDFFDECBA
231,FFEDBAABCCC,AAADEEEEEEE,FEEEEDCCBAA,EDBAABCDEFF,CDEFFEDCBAA,BBAABCDEFFF,FFFEDCBBBAA,EEEEEECBBAA
232,DCBACFFFDCA,BDFFECBAABD,EFFFDBAABBC,EFFECAAABCD,CBAABCEEFFF,ABCABEEBDFF,FDBAABDEFEC,BAAABDEEEFF
233,ABEEEFECDBA,BBDFFEDBABD,CABDDCABEFF,FEDCBAABEFE,BAAABDEFFED,BABBABDEEFF,FEDBBCEEEBA,AABDDDCDEFE
234,EEFFEECBBAA,DAABCCEDEEF,AABCDDEEEFF,CCDEEEEEDAA,ABEFFDBACCC,AEFFEEDDCBA,FFEEDCBBBAA,CBBBBBCDEFF
235,AABBBBCEFFF,FECEDAADECA,FFEEECBAAAB,AABCCDEEEFF,FFFEDCBBBAA,FFFEDCBAABC,ABAACDEFFDE,DEDEEFECBAA
236,DEFFFECBAAA,FFDDCBBBBBB,AAABCCDDEFF,ACEFFEEBABC,EFFECBBAACD,FFEEEDCCBAA,FFFDDDCBAAA,BBABBCDEEFF
237,FFFDBAABBDD,ABCCCCEFEEF,EEEEEEDCBAA,AAABCDEEEFF,FFFEDCCBAAA,BBBABBCDEFF,ABDEEDEFDBB,FFEFEDCBAAA
238,FFEDBABBCBB,FEECAAABCDF,ABBBBCEEFFE,FFFEEDBAAAB,AAABDEFFEED,FFECBBBABCD,AABCBBCEFFF,DACEFFEBABC
239,FFFEDCBBBBA,FDCEDDBAADF,AAABCDEEEFF,DEEEEEDDBAA,AAABBCDEFFF,EDEEEEDEBAA,FFEDCBABBCA,AABBBCDEFFF
240,FFDBCCCCCBA,ABFEDECCCCD,EEEEEEDCBAA,CDEFFEDCBAA,AABBCDDEEFF,AABCDCEFFEE,EEECDEBBFAA,DDEEFEEDAAA
241,FFFEDCBBAAB,AABCCCDEFFF,EEFFEEDCBAA,FFEDBAABBCD,BBDFFFEDBAA,AAABCDEEEFF,BCCFEDFEDAA,FFFEDDBBAAB
242,AACEEFEEECB,FFEEDCBBAAA,AAABCDDEFFF,EFFEEDCCBAA,CBCCAABCEFF,EEEEEEDCBAA,FECBAAABDEF,AAABCDDEFFF
243,ACDFECCBEDC,EFEDEBDAABE,FFCEDBBAACE,AABBCDEEEFF,FFFDCCBBBAA,FFFEDBAAABD,AABBCDEEEFF,EDBDDEFCBDA
244,EFFEEDDCBAA,AABCDEFEEED,DBBAABCDEFF,FFFEDCBBAAA,AAACEEFEEED,DCDEFFECBAA,AABDEEFFECA,AABCEFFFDBB
245,CBAABEFEEED,FECAAABDEFF,ECBABBCEFFD,CCDEFFECAAB,FFEBAACEDCD,DDDBBBABDFF,FEBAAACDFFD,BAAABDFEEFF
246,FFFEECCBBAA,FDEDECAADCC,AAABCDDEEFF,DEFFEEDCBAA,AAABCEEFEEE,FEEEEDCCAAA,FFDDDCBBBAB,ABBBBCEEFFF
247,CDEFEEEDAAA,EFFEDCBBAAB,ABBBBBCDEFF,FFFEDCBAABC,FFDBAAABDEF,CDEFFEDCAAA,BBCEFFCABEF,CDEDBAACFFD
248,BDEFFECCCBA,FFEDCCCAABB,AAABBDEEFFF,FFFEEDCAAAA,AAACEEEEEEE,FFEEEDCBBAA,AAABBCDDEFF,AABBCDEEEFF
249,ACEFEDCECCB,DEFEDCDCBBA,FFFEECCBAAB,AABCDDEEEEE,CEFFECBBBBB,FFFEDCBBAAA,AACCEEEDEED,BAABCDCEFFF
250,AABDEDFFEBD,FFEDCBAABCE,FFFEDBBBBBA,BCFFFECDCAA,AAACDFFEEDD,AABCDEEFFEC,FFEDDCCBBAA,ABCBBDFFCEF
251,EFEEDBDCCCA,FFDBBBBBBDE,AABBCDEEFFF,EFEEDDDCBAA,BBAABCDEFFF,FEEEEDDCBAA,FDABCBBBDEE,AAABBCDEFFF
252,AACEEEFEEDB,FFEEDDCBAAA,AAABCDDEFFF,EEEEEDDCBAA,CCCBAABCEFF,EEEEEEDDBAA,FFDBBAABCDE,AAABCCDEFFF
253,CBBBCBBCEFF,FDDBDDAABEF,FEDBAABDEEC,CBAABCDEFFF,DEFFEDCBBAA,BBBABBDDEFF,AADDDFFEBAC,EEEEEEDCAAA
254,AAABCDEEEFF,EDEBEECCEAA,FFFEDDCBAAA,AABBCDEEEFF,EFFFEDCBAAA,FFFECBAABCD,AABBBDEFFEE,EBCEEBDEBDA
255,AACDEEEEEDC,FFEEDCCBAAA,AAABBCDEFFF,EEFEEDDCBAA,BBCCBBBCEFF,DEEEEEEDBAA,FFECBBABCDD,AAABCDDEFFF
256,BCDDFEDFDBA,BEFFEDCBAAC,CFFECAAABDF,FFEEDCAAABC,FFECBAABCDF,EFFFECBAABC,ECBAAABCEFF,DDBABCEDCFF
257,AAABCDEEEFF,FFEDEDCBABA,FFEEEDCBAAA,AABCCDEEEFF,BCFFFEDCBAA,FFFEEDCBAAA,AABBCDCDEFF,ABCCEEFEFBA
258,FFEDCCECBAA,AABDEFEDDDC,EFDBAADFECB,BAABBCDEFFF,FFEDCBBBABC,AAABBCDEFFE,BAACDDCEEEF,FFFEDCBAABB
259,ACEFFEEECBA,AAADDDEDFFD,EDCBAABCEFF,AABDDEEEEEE,FFFDBBBBBBB,FFFEEDBAAAB,AAACCEEFEEE,FFFEDCCCAAA
260,AADDEFDBCFD,EBAABDFFEDC,DDCBAACEFFF,CCDEEEEECAA,AAABDFFEEED,BCEFFEEDBAA,FFFBABBBBCE,DCAAADEFDEF
261,ACFFFEDBADB,ADDBABCDEFF,FFEEEDCBAAA,AAABCDDEFFF,EFFFECCBBAA,FFDBAAABDEF,AABBBDDEFFF,CAABEFBDFFC
262,BAABBEFFCBE,BDDDDBAADFF,FFEDEDBAABC,AABBCDEEFFF,FFEDCCBBBAA,AAABBDEEEFF,BDFEBAACFEE,EEFFEDCBAAA
263,FFDBAAADCEF,ADEEDDCAEEC,FFDDEECBAAB,AABCDEFECCE,AAABCDEEFFF,EEDEFEDCBAA,FFECCDBABBB,FFEBDEDDBBA
264,FFFEDCBBAAA,FDEEEECBAAB,CDFFFECDBAA,BBAABCDEFFF,FFEDCCBBAAB,AABDDEEEEEE,FFDCBBBCCBB,BBCBADEDFEE
265,FFFDBAACCCC,AABDEEFDDCE,ABBBACDEEFF,AABBCCCEFFF,FECAABBCDDC,FFEEDDDCBAA,FCCFFFCABAB,CCCBBACDFFE
266,CEFFEDDDBAA,FDBCCBBADED,BBCBBBBCEFF,BBDEEFFECAA,DEFFECBAABB,EEEEEEDCBAA,FFFEEDBBAAA,AAABBCDEFFF
267,EDCCBAABDFF,FDBAEEDEBAD,FFEEEDDCBAA,AAABCDEEEFF,EFFEDCCBAAA,BBBAABCDFFF,FFFEDCCBAAA,DDEFFDCDAAA
268,CBBAACDEEEF,FFCBAABCDDE,FFEEDDCBBBA,FFFEDCBAABB,AABDEFFEDCB,BBAAABDEFFF,ABABBEFFEED,EEEFFECBBAA
269,BCCEFEFDAAC,FEBAABDEFED,ABAAEFFDDDD,DBDCAABDFFC,BBAABCDEFFF,FFDBBCDDCBA,DFFEBABDEDB,CEDAABEFECE
270,DFFECACBDBA,FFEDCCABABC,AAABCCEEFFF,FEFEEDDBBAA,AAABBCDFFFE,FFFEEDCBAAA,EFEEEDACABB,AABBCCEEFFF
271,EFFEEDCBAAA,FFDDCBAABDE,BBBBBBCDFFF,BCDDEFFFBAA,CEFFEBBAACD,FEEEEDCBAAA,FFEEECBBCAA,AAABCCDEEFF
272,FFECCCCBBAA,FCBBDDBACEF,AAACCEEEEEF,FFFEEDDCBAA,AAABCDEFFFE,FFEDCCBBBBB,ABBBBCCDEFF,CBADFEDCCEB
273,FFFEDCBBAAA,AAABDDDEFFF,AAACCCDEEFF,EEFFCCBBBAA,BAABCCEEFFF,DEEEDDCCFBA,FFFDCDCBABA,FFFCDBAABCC
274,AAABBBDEFFF,DBBDBABDFFE,EFEDDEECBAA,AABBCDEEEFF,FFFEDCCBAAA,BBAAACDEFFF,CCDEFEBAAEF,EEEFEDDBAAA
275,AAABDEEEFFE,FFEDDCBBBAA,CDDEEFEEBAA,FFEDDCBBBAA,AAABDEEEEEE,CEEEEEEDCAA,FFEEDDCBBAA,CBBAABCDFFF
276,ACEFFEDDCAA,FFEEDDCBBAA,BBABBBCEFFF,ABDDBBDEEFF,FFFDCBBBBBB,EFFFEDCBAAA,AAABCDEFFEF,AAABBDDEFFF
277,ECABFECBADF,FCBABDFFDBA,ACEFEBBBBDF,FDBCCDFEBAB,BCABEFDBEFD,ABDECBABEFF,ECBCFFEBABD,FEBABEFEBAC
278,FFEDBABBCCC,AABBCCEEFEF,EEEEEEDCAAA,FFEDCAAABCD,EEFFEDCBAAA,AAABCDEEEFF,CDEEEFECAAA,FFFEDDBBBAA
279,FFECBAABCDE,BCBAABDEFFF,FFEEDDDCBAA,CBAABCDEFFF,CDEFFEDCBAA,CCBAABCDEFF,EFFEDDCAAAA,FFEDDBBCCBA
280,AABBBDDEFFF,ABDDEFFEEBA,FFEDCBAABCC,AABCDEEEEEE,AACFFDCCDDD,FFEEEDDCBAA,AAABCDEEFFF,FECBCACCDCB
281,CABCCFDFDEC,EFFDBBDAACD,FEEEEDCBAAA,AAABCDEEFFE,FFDCBAABCEF,AAABCCEEFFF,FFFEDCBAAAB,ABBABCDEEFF
282,BCDCEFEDBAC,EFFEEDCBAAA,AABDEFEEDDC,BAABCDDDEFF,ABEFFECCBBA,FFEECBAABCE,DEFFFECBAAA,ABDEFFCABDE
283,FFECAAACDEE,EFDFDCCCBBA,AABBCBDEFFF,AACCDFFFECC,AABCDEFFDCB,FFFEDDCBAAA,ACBDDBECEDF,FFDDCDDCCAA
284,FFEDBAACDDA,FFEDEDBBBAA,AAABBCEEFFF,EDEEEEDBCAA,AAABBCEFFFE,FFEEEDCBAAA,FECCCAAACEF,ABBEFEEECCB
285,AAADFFFEDCC,AACEFEEEEDB,DDEFFEDCAAA,FCAABBCDEFF,AAABCDEFFFE,FFEEEDCBAAA,AADEDFEBBDF,EEFFECAAABC
286,AACEEEFEDCB,FFEEDCBBAAA,AAABCCDEFFF,EFFEEDCCBAA,BBCCAABCEFF,EEEEEEECBAA,FFDBBAABCDE,AAABCDDEFFF
287,FFFECBBCBBA,ACBBBBDCEEF,AABCDDEEEFF,AABBCDDEEFF,FFCBAABCDDE,EEEEFDCCAAA,FFFEDCBBBAA,BBABADDEEFF
288,FFFEDCAAABC,DCBAABCDFFF,EEEEECCDCAA,AAABCDEEEFF,DEFFEDCBAAA,EDCBAAACEFF,AAACCCEEFFE,FEEEEEDBAAA
289,CCCBDDCABFF,FECBBAABEFF,FFEDCBAAACE,DFFEBAABCDE,AACECCEFFED,EEFFFECBAAA,BBCDEFFFDBA,AABCDEFFFEB
290,CCDCBECAAFF,FFEEEDCBAAA,AABEEEEEDDD,EFFEEDCCBAA,AAAABEFFEEE,FFFEDBAABBB,CBBDEEBACFF,BAAACDDDFFF
291,AAACEDCEFFD,CBDFFFEDCAA,ACEFFFEDCAA,BAABDEDDEFF,AAABBCEFFFF,FFEEEECBAAA,FEAACDDBBDE,EDBAACEFFCC
292,EFFEDEDCBAA,FEDDDBAACCE,AABBCCDEEFF,ABBCCCBCEFF,FDBAAACDDEE,EEEEEEECBAA,FFEEECBCAAA,AABBCCDEEFF
293,ADFFEEDCBAA,FFFDDCBBBAA,CCABCACCDFF,DEEFEEDCAAA,AABEFFECBCD,EEFEEDDCBAA,FFFDCCBAABB,AABBBCDEEFF
294,FFFECCBBCAA,FFEDCCBABBB,AAABBDDEFFF,CDDDFFBCCBA,ECAAABCDFFF,FFFEDDCCBAA,FFEDDDBBABB,BBAABCEFFEE
295,FFEDCBBBBBB,ABDDCDDEEEE,CDDEEFEDCBA,FFEDBAABCDD,CDEFFEDCBAA,AAABBCDEFFF,BCEFFFDBBAA,FFFECCCBABB
296,ABBEFCACFEC,AABEFFFECBA,AAABCDEEFFF,FFEDBBBBBBB,AAABCEEEFFE,FFEEDCCCCBA,BAAABDEFFFE,CAAABCEFFFE
297,EEFFEDCBBAA,BBAABBDEFFF,EEFEEECAAAB,DEFEEEDDBAA,BDFFFECBAAB,FEFEEDBAAAB,ABBBBBCEFFF,ABBBBCDDFFF
298,FFFEDCCBBAA,BABBBCEDEFF,FEDDEEECAAA,FFFECCBAABC,AABDFFEEDDC,FFFEDCBAAAB,AABABDEEEEF,DDAABCCECFF
299,CFFDEBBDBAC,FCAACFFEDCB,FFFEDCCBAAA,BAAABCDEFFF,DDEFFEDCAAA,CBBABCCDEFF,AACCDEEEEDC,FBAADEDBEED
300,FFFDBBCCCBA,BBBACDCDEFF,AAABBDDEEFF,BCEFEEECBAA,EDAABCBCFFE,EEEEEECCAAA,BBEEEEDADDC,BBBCBBEDDFF
301,BCBBDEDBBEF,FFFEDCBAABD,FFFEDBAAABD,FFFEDBAABBB,AAABCEFFEEE,FFEEECBBAAA,CBAABBCDFFF,ECAABCEFFEB
302,FFFEDCBBBAA,ABBBBCEEEFF,AABBCDEEFFF,FFEEDCBBAAB,ABDFFFEDCBA,AABCDEFFECD,FFFCDBCDCAA,CDDBAAADFEF
303,AACEEFEEEDB,FFEEDCBBAAA,AAABCDDEFFF,EEFEEDDCBAA,CBCBAABCEFF,EEEEEEDCBAA,FFDBBAABCDE,AAABCDDEFFF
